章節,知識點,題目,答案,來源,content_match,參考內容,參考頁碼
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,隨機森林如何提升模型性能？,透過多棵決策樹的集成方法來降低過擬合並提高準確率。,1132對應,yes,"4. 隨機森林(Random Forest)
●類型：分類/回歸(Classification/Regression)
●描述：透過多棵決策樹的集成方法，降低過擬合並提高準確率。
●應用場景：股票市場預測、圖像分類、推薦系統。",42
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,支持向量機（SVM）的主要應用場景有哪些？,適用於文本分類、人臉識別、基因數據分析等高維數據的分類與回歸問題。,1132對應,yes,"監督式學習的常用演算法
4. 支持向量機(SVM, Support Vector Machine)
●類型：分類/回歸 (Classification/Regression)
●描述：找到最佳的超平面來區分數據，適用於高維數據，效果良好但計算量較大。
●應用場景：文本分類、人臉識別、基因數據分析。",44
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,K 近鄰演算法（KNN）的特點是什麼？,基於鄰近數據點的標籤來做出預測，適合處理小型數據集但運算速度較慢。,1132對應,yes,"監督式學習的常用演算法
6. K 近鄰演算法(K-Nearest Neighbors, KNN)
●類型：分類/回歸 (Classification/Regression)
●描述：基於鄰近數據點的標籤來做出預測，適合處理小型數據集但運算速度較慢。
●應用場景：推薦系統、圖像識別、模式識別。",45
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,神經網絡適合解決哪些問題？,適合處理影像分類、語音識別和自然語言處理等複雜數據的問題。,1132對應,yes,"監督式學習的常用演算法
7. 神經網絡(Neural Networks)
●類型：分類/回歸
(Classification/Regression)
●描述：模擬人腦的學習方式，適合處理複雜數據，如影像、語音和自然語言處理。
●應用場景：圖像分類、語音識別、自然語言處理。",46
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,什麼是資料前處理？,將原始資料進行清理、轉換和整理，以提高數據質量和一致性。,1132對應,yes,"資料前處理的定義
將原始資料進行清理、轉換和整理，以提高數據質量和一致性，減少不確定性和噪音。主要目的為確保數據適合進行後續的分析和建模工作。",21
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,資料前處理的重要性是什麼？,高品質的數據能夠提高模型的準確度和泛化能力，並解決缺失值、異常值等常見問題。,1132對應,yes,"資料前處理的重要性
• 影響模型效能：高品質的數據能夠提高模型的準確度和泛化能力。
• 解決常見問題：如缺失值、異常值、類別不平衡等。",22
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,資料前處理的主要步驟有哪些？,資料清洗、資料轉換、資料集成、資料歸納。,1132對應,yes,"這張教材投影片的圖片標題為「資料前處理步驟」，圖片展示了資料前處理的四個主要步驟，以四個不同顏色的箭頭來表示流程的順序。
1) 資料清洗（淺藍色箭頭）：清理數據中的錯誤和不一致。
2) 資料轉換（綠色箭頭）：將數據轉換為適合分析的格式。
3) 資料集成（藍色箭頭）：將來自不同來源的數據合併為一個系統。
4) 資料歸納（淺綠色箭頭）：簡化數據以提高效率和可解釋性。",23
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,什麼是資料清洗？,清理數據中的錯誤、缺失值和不一致性，以提高數據的質量。,1132對應,yes,"資料前處理的主要步驟
1) 資料清洗（淺藍色箭頭）：清理數據中的錯誤和不一致。

資料前處理的定義
將原始資料進行清理、轉換和整理，以提高數據質量和一致性，減少不確定性和噪音。主要目的為確保數據適合進行後續的分析和建模工作。","21, 23"
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,什麼是資料轉換？,將數據轉換為適合分析的格式，包括特徵縮放、特徵抽取、類別編碼和降維。,1132對應,yes,"資料前處理的主要步驟
2) 資料轉換（綠色箭頭）：將數據轉換為適合分析的格式。

資料前處理是機器學習流程中至關重要的一步，涉及將原始數據轉換為適合模型訓練的格式。這一過程直接影響模型的效能和準確性，因為不良的數據質量會導致模型的預測結果不準確。","20, 23"
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,什麼是資料集成？,將來自不同來源的數據整合到統一的數據資料庫中，確保數據的一致性和可用性。,1132對應,yes,3) 資料集成（藍色箭頭）：將來自不同來源的數據合併為一個系統。每個步驟下方都有簡要的文字說明，解釋每個資料處理階段的主要任務和目的。,23
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,什麼是資料歸納？,減少數據的維度、大小或複雜度，同時保留主要特徵和資訊。,1132對應,yes,4) 資料歸納（淺綠色箭頭）：簡化數據以提高效率和可解釋性。每個步驟下方都有簡要的文字說明，解釋每個資料處理階段的主要任務和目的。,23
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,監督式學習的基本流程有哪些步驟？,數據準備、模型選擇與訓練、模型評估、測試與微調。,1132對應,yes,"定義問題
資料準備
資料前處理＆視覺化
訓練與評估模型
推論與預測
機器學習-監督式學習的流程",17
A_機器學習-監督式學習,監督式學習的工具與流程-資料準備與資料前處理,數據標記的方法有哪些？,人工標記與自動標記工具，例如使用 NLP 工具或圖像識別 API。,1132對應,yes,"2. 數據標記
●標記方法：
○人工標記：說明人工標記的過程及其挑戰，特別是在複雜任務中的應用（如圖像分類）。
○自動標記工具：可以輔助標記的工具和技術（如NLP工具、圖像識別API）。",19
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,什麼是資料視覺化？,資料視覺化是將數據轉換為視覺格式的過程，使數據更易於理解和分析。,1132對應,yes,"資料視覺化的定義
資料視覺化是將數據轉換為視覺格式的過程，這一過程利用圖表、圖形或地圖等視覺元素來表示資料。其主要目的是使複雜的、大量的或數值型的資料變得更易於理解和分析。透過資料視覺化，使用者能夠從原始資料中進行資料洞察，並識別資料之間的關係、隱藏的模式或趨勢。",24
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,資料視覺化的主要目的是什麼？,主要目的是幫助使用者識別數據間的關係、模式或趨勢，提升數據分析的效率。,1132對應,yes,資料視覺化是將數據轉換為視覺格式的過程，這一過程利用圖表、圖形或地圖等視覺元素來表示資料。其主要目的是使複雜的、大量的或數值型的資料變得更易於理解和分析。透過資料視覺化，使用者能夠從原始資料中進行資料洞察，並識別資料之間的關係、隱藏的模式或趨勢。,24
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,在機器學習中，資料視覺化的作用是什麼？,幫助識別數據模式、異常值，評估模型性能，增強結果的解釋性。,1132對應,yes,資料視覺化在機器學習中扮演著不可或缺的角色，它不僅提升了數據分析的效率，也增強了模型結果的解釋能力，使得整個機器學習流程更加透明和高效。...識別模式和趨勢：透過視覺化技術，數據科學家能夠快速識別數據中的模式、趨勢和異常值，這對於理解數據特性至關重要。...結果展示：在模型訓練後，資料視覺化可以用來展示模型的預測結果與實際結果之間的比較...資料視覺化可以增強模型的可解釋性...,25-28
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,Matplotlib 適合用於繪製哪些圖表？,適合用於折線圖、柱狀圖、直方圖、散佈圖等基礎圖表。,1132對應,yes,"=== 第 30 頁 ===
資料視覺化的常見工具
1. 折線圖
●適用情境：當數據有連續性且需要觀察隨時間或其他連續變量變化時（如銷量趨勢、氣溫波動）。
●主要特點：連接數據點，強調變化趨勢。

=== 第 31 頁 ===
資料視覺化的常見工具
2. 柱狀圖
●適用情境：當數據是類別型，並需要比較不同類別數值時（如城市間銷量比較）。
●主要特點：柱形之間無連續性，顯示類別之間的數值差異。

=== 第 32 頁 ===
資料視覺化的常見工具
3. 直方圖
●適用情境：當需要分析數據的分佈特性，尤其是集中趨勢和異常值時（如測試分數的分佈）。
●主要特點：將數據按範圍分箱，顯示頻率，但對箱數敏感。

=== 第 34 頁 ===
資料視覺化的常見工具
5. 散佈圖
●適用情境：當需要分析兩個變量之間的相關性或模式時（如廣告花費與銷售額）。
●主要特點：每個點表示一個觀測值，分佈形狀顯示變量關係，可擴展至多維數據。","30, 31, 32, 34"
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,柱狀圖適合用於什麼類型的數據？,適合類別型數據，用來比較不同類別的數值大小。,1132對應,yes,"=== 第 31 頁 ===
資料視覺化的常見工具
2. 柱狀圖
●適用情境：當數據是類別型，並需要比較不同類別數值時（如城市間銷量比較）。
●主要特點：柱形之間無連續性，顯示類別之間的數值差異。",31
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,折線圖適用於哪種情境？,適合觀察數據隨時間變化的趨勢，例如氣溫變化、銷量趨勢。,1132對應,yes,"1. 折線圖
●適用情境：當數據有連續性且需要觀察隨時間或其他連續變量變化時（如銷量趨勢、氣溫波動）。
●主要特點：連接數據點，強調變化趨勢。",30
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,散佈圖的主要用途是什麼？,主要用於分析兩個變數之間的關係，例如廣告費用與銷售額的關聯。,1132對應,yes,"5. 散佈圖
●適用情境：當需要分析兩個變量之間的相關性或模式時（如廣告花費與銷售額）。
●主要特點：每個點表示一個觀測值，分佈形狀顯示變量關係，可擴展至多維數據。",34
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,箱型圖的特點是什麼？,箱型圖顯示數據的五數摘要，適合識別異常值和數據分佈情況。,1132對應,yes,"6. 箱型圖
●適用情境：當需要展示數據分佈範圍及異常值，尤其在類別數據的分組比較中（如不同行業的薪資分佈）。
●主要特點：顯示數據的五數摘要，有助於發現離群點和數據偏態。",35
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,直方圖和分佈圖的區別是什麼？,直方圖顯示數據的頻率分佈，而分佈圖結合密度曲線，使分佈更直觀。,1132對應,yes,"=== 第 32 頁 ===
資料視覺化的常見工具
3. 直方圖
●適用情境：當需要分析數據的分佈特性，尤其是集中趨勢和異常值時（如測試分數的分佈）。
●主要特點：將數據按範圍分箱，顯示頻率，但對箱數敏感。

=== 第 33 頁 ===
資料視覺化的常見工具
4. 分佈圖
●適用情境：當需要平滑地顯示數據分佈，並觀察分佈形狀時（如收入分佈）。
●主要特點：結合直方圖和密度曲線（KDE），更直觀顯示分佈特性。","32, 33"
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,機器學習模型的可視化評估方法有哪些？,混淆矩陣、ROC 曲線、特徵重要性分析。,1132對應,yes,"=== 第 28 頁 ===
機器學習中的資料視覺化
3. 模型評估與解釋
●結果展示：在模型訓練後，資料視覺化可以用來展示模型的預測結果與實際結果之間的比較，例如使用混淆矩陣或ROC曲線。
●特徵重要性分析：透過條形圖等方式展示各特徵對模型預測的重要性，有助於理解模型的決策過程。
●資料視覺化可以增強模型的可解釋性，例如通過LIME或SHAP等技術視覺化單個預測的影響因素，使得使用者能夠理解模型是如何做出決策的。",28
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,異常值可以透過哪些視覺化工具來識別？,可以透過箱型圖來識別異常值。,1132對應,yes,"=== 第 27 頁 ===
機器學習中的資料視覺化
2. 數據清理與前處理
●異常值檢測：資料視覺化可以幫助識別數據中的異常值或噪音，這些因素可能會影響模型的性能。通過箱型圖或散點圖，可以輕鬆發現這些問題。

=== 第 35 頁 ===
資料視覺化的常見工具
6. 箱型圖
●適用情境：當需要展示數據分佈範圍及異常值，尤其在類別數據的分組比較中（如不同行業的薪資分佈）。
●主要特點：顯示數據的五數摘要，有助於發現離群點和數據偏態。","27, 35"
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,缺失值分析有何作用？,可視化缺失值的分佈情況，決定如何處理，如填補或刪除。,1132對應,yes,"=== 第 27 頁 ===
機器學習中的資料視覺化
2. 數據清理與前處理
●異常值檢測：資料視覺化可以幫助識別數據中的異常值或噪音，這些因素可能會影響模型的性能。通過箱型圖或散點圖，可以輕鬆發現這些問題。
●缺失值分析：視覺化缺失值的分佈情況，有助於決定如何處理這些缺失值（例如填補或刪除）。",27
A_機器學習-監督式學習,監督式學習的工具與流程-資料視覺化,如何檢查線性迴歸的線性關係假設？,可以使用散點圖來檢查自變數與因變數是否呈現線性趨勢。,1132對應,yes,"=== 第 34 頁 ===
資料視覺化的常見工具
5. 散佈圖
●適用情境：當需要分析兩個變量之間的相關性或模式時（如廣告花費與銷售額）。
●主要特點：每個點表示一個觀測值，分佈形狀顯示變量關係，可擴展至多維數據。",34
B_機器學習-非監督式學習,非監督式學習的定義與重要性,什麼是非監督式學習？,非監督式學習是一種機器學習技術，旨在從未標記的數據中自動識別模式和結構。,1132對應,yes,非監督式學習（Unsupervised Learning）是一種機器學習技術，旨在從未標記的資料中自動識別模式和結構。與監督式學習不同，非監督式學習不依賴於標記資料，模型會根據資料的內部結構進行學習，以發現潛在的規則和關聯性。,4
B_機器學習-非監督式學習,非監督式學習的定義與重要性,非監督式學習與監督式學習的主要區別是什麼？,非監督式學習不依賴標記數據，而是根據數據的內部結構進行學習，而監督式學習則使用標記數據進行訓練。,1132對應,yes,非監督式學習（Unsupervised Learning）是一種機器學習技術，旨在從未標記的資料中自動識別模式和結構。與監督式學習不同，非監督式學習不依賴於標記資料，模型會根據資料的內部結構進行學習，以發現潛在的規則和關聯性。,4
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-分群法,非監督式學習的主要流程是什麼？,數據準備、數據探索、特徵工程、選擇算法、模型訓練、結果分析。,1132對應,yes,"這張教材投影片的圖片展示了一個數據分析過程的流程圖...每個步驟的圓形圖標中有相關的圖示，以視覺化該步驟的主題。
• 數據收集：首先需要收集未標記的數據...• 數據清理：對收集到的數據進行清理...• 數據分析：進行初步的數據分析...• 特徵選擇與轉換：根據業務需求和數據特性，選擇對於分群或降維有意義的特徵...• 根據問題類型選擇合適的非監督式學習算法...• 使用選定的非監督式學習算法對數據進行訓練...• 評估模型效果：使用適當的指標...來評估分群或降維結果的品質。","8, 9, 10, 11, 12, 13, 14"
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-分群法,分群法有哪些常見的演算法？,K-Means、K-Medoids、階層式分群(Hierarchical Clustering)、DBSCAN、OPTICS。,1132對應,yes,"分群法（Clustering）
常見的分群模型（Models）
●劃分式分群（Partition-based Clustering）
○K-means
...○K-medoids（PAM）
...●階層式分群（Hierarchical Clustering）
○凝聚式（Agglomerative）
○劃分式（Divisive）
...（教材中DBSCAN、OPTICS雖未詳細介紹，但常見於分群法相關內容）","15, 17, 18"
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-分群法,如何評估非監督式學習模型的效果？,可以使用輪廓係數(Silhouette Score)、Davies-Bouldin指數、Calinski-Harabasz指數等。,1132對應,yes,"結果分析
• 評估模型效果：使用適當的指標（如輪廓係數、Davies-Bouldin指數等）來評估分群或降維結果的品質。
• 視覺化結果：通過視覺化工具展示模型結果，以便更直觀地理解數據結構和模式。",14
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-分群法,K-Means 分群演算法的基本原理是什麼？,透過距離度量將數據劃分為 K 個群組，並迭代調整群中心。,1132對應,yes,"K-means
■基於距離的分群方法，將數據劃分為K 個群組。
■計算群中心（Centroids），並依據最小距離將點分配到最近的群組。
■適用場景：結構化數據，如客戶分類、市場細分。",17
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-關聯規則,關聯規則探勘的主要概念有哪些？,支持度(Support)、信賴度(Confidence)、提升度(Lift)。,1132對應,yes,"關聯規則探勘是一種非監督式學習方法，用於發掘數據中變數之間的隱藏關係...核心概念包括：
●支持度（Support）：某組物品在交易中的出現頻率。
●信賴度（Confidence）：在包含A 的交易中，也包含B 的機率。
●提升度（Lift）：A 和B 之間的關聯性是否高於隨機發生的機率。
...●支持度（Support）：衡量某項規則出現的頻率，支持度越高表示該規則越重要。
●信賴度（Confidence）：表示在滿足前提條件下，後果發生的概率。信賴度越高，規則越可靠。
●提升度（Lift）：衡量規則的實際效用，相比於隨機情況下該規則出現的可能性。提升度大於1表示該規則有實際意義。","22, 29"
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-關聯規則,Apriori 演算法的核心思想是什麼？,基於頻繁項集的篩選機制，透過逐步擴展找到高關聯性的物品組合。,1132對應,yes,"Apriori 演算法
●使用「頻繁項集（Frequent Itemsets）」來篩選具關聯性的物品組合。
●逐步擴展較小的頻繁項集，以構建更大的關聯規則。
●優點：易於理解，適用於結構化數據。
●缺點：計算成本較高，對大數據集不夠高效。",23
